ID	Grupo	Funcion1	Funcion2
1	1	0.479	-2.943
2	1	1.096	-2.2
3	1	0.774	-2.379
4	1	1.869	-2.184
5	1	1.161	-1.44
6	1	2.795	-1.386
7	1	0.744	-1.128
8	1	1.122	-3.008
9	1	2.276	-1.783
10	1	1.488	-1.304
11	1	2.51	-2.321
12	1	3.675	-1.351
13	1	3.84	-0.692
14	1	1.575	-0.493
15	1	2.533	-0.97
16	1	2.324	-2.642
17	1	2.053	-1.042
18	2	-2.837	-0.681
19	2	-4.689	0.113
20	2	-3.489	1.692
21	2	-5.993	-0.469
22	2	-1.933	-0.837
23	2	-3.027	0.006
24	2	-4.328	-0.597
25	2	-6.492	-0.198
26	2	-4.147	-0.063
27	2	-6.165	1.721
28	2	-2.869	0.216
29	2	-3.576	-0.421
30	2	-4.338	0.822
31	2	-5.273	-4.639
32	2	-4.026	-0.359
33	2	-4.403	-0.4
34	2	-3.039	-0.864
35	3	1.209	2.189
36	3	0.635	2.913
37	3	1.201	1.776
38	3	1.805	2.043
39	3	1.118	0.865
40	3	1.391	0.948
41	3	1.747	2.449
42	3	2.276	1.391
43	3	2.617	0.948
44	3	1.07	0.631
45	3	0.347	2.457
46	3	0.691	3.649
47	3	0.721	1.308
48	3	2.057	1.394
49	3	1.916	1.45
50	3	3.022	2.301
51	3	0.945	1.287
52	3	0.375	1.859
53	3	0.861	1.522
54	1	2.56	-2.087
55	1	3.753	-2.883
56	3	1.482	2.036
57	3	0.014	3.338
58	1	2.023	-2.926
59	3	1.827	1.36
60	1	1.61	-2.185
61	3	2.378	3.314
62	2	-4.72	-0.469
63	3	2.055	0.602
